model,f1,recall,cv_f1_mean,cv_f1_std,dataset
Logistic Regression (Tuned),0.9703947368421053,0.9800664451827242,0.9802136767530119,0.0029603917243542686,Enhanced Combined
Random Forest (Tuned),0.9704918032786886,0.9833887043189369,0.9768678330274974,0.004050548823195974,Enhanced Combined
Voting Ensemble,0.9754500818330606,0.9900332225913622,0.9811839585407192,0.004128803207463105,Enhanced Combined
Stacking Ensemble,0.9586776859504132,0.9634551495016611,0.9724553823393333,0.005743911731931515,Enhanced Combined
Logistic Regression (Tuned),0.9878662326131992,0.9931567985718536,0.9849387663145677,0.0020274202960727386,Enron
Random Forest (Tuned),0.9830508474576272,0.9922642070812259,0.9818101776241412,0.0015405345277889285,Enron
Voting Ensemble,0.988780631827576,0.9964296340374889,0.9873384709560806,0.0009679136187608903,Enron
Stacking Ensemble,0.9774212715389186,0.978875334721809,0.9785584577595653,0.001718769171747406,Enron
