type of test,model,Dataset,Accuracy,Precision,Recall,F1,Speed: emails/second
Single agent - few shot ,Qwen/Qwen2.5-7B-Instruct,AIGEN,87.92%,89.27%,91.67%,90.45%,1.0 s
Single agent - few shot ,Qwen/Qwen2.5-7B-Instruct,ENRON,82.50%,88.34%,83.30%,85.75%,0.9 s
Single agent - few shot ,Qwen/Qwen2.5-7B-Instruct,TREC,86.00%,87.50%,91.01%,90.20%,1.2 s
Single agent - few shot ,meta-llama/Llama-3.1-8B-Instruct,AIGEN,82.50% ,80.00%,98.09%,87.35%,1.5 s
Single agent - few shot ,meta-llama/Llama-3.1-8B-Instruct,ENRON,64.53%,59.02%,97.05%,73.40%,1.6 s
Single agent - few shot ,meta-llama/Llama-3.1-8B-Instruct,TREC,72.60% ,67.04%,96.62%,79.16%,1.6 s
"Multiagent - graph
","email_agent: Qwen/Qwen2.5-3B-Instruct                                      url_agent:meta-llama/Llama-3.1-8B-Instruct
judge_agent: Qwen/Qwen2.5-7B-Instruct                            pattern_agent: meta-llama/Llama-3.2-3B-Instruct",AIGEN,57.1%,65.2%,30.9%,48.2%,
"Multiagent - graph
","email_agent: Qwen/Qwen2.5-3B-Instruct                                      url_agent:meta-llama/Llama-3.1-8B-Instruct
judge_agent: Qwen/Qwen2.5-7B-Instruct                            pattern_agent: meta-llama/Llama-3.2-3B-Instruct",ENRON,58.7%,70.2%,30.2%,41.9%,
"Multiagent - graph
","email_agent: Qwen/Qwen2.5-3B-Instruct                                      url_agent:meta-llama/Llama-3.1-8B-Instruct
judge_agent: Qwen/Qwen2.5-7B-Instruct                            pattern_agent: meta-llama/Llama-3.2-3B-Instruct",TREC,54.7%,54.7%,25.7%,28.3%,
Multigraph- debating agents- ollama,Qwen/Qwen2.5-3B-Instruct,ENRON,56.1%,62.2%,30.9%,41.3%,0.18 emails/second
Multigraph- debating agents- ollama,meta-llama/Llama-3.2-3B-Instruct,ENRON,57.7%,67.2%,30.0%,41.5%,0.18 emails/second
Multigraph- debating agents- ollama,google/gemma-2-2b-it,ENRON,52.8%,58.7%,18.7%,28.3%,0.18 emails/second
Multigraph- debating agents- ollama,Combined 3 models,ENRON,58.3%,64.4%,37.1%,47%,0.06 emails/second 
