model,accuracy,precision,recall,f1,speed_emails_per_second,num_test_samples
Logistic Regression,0.9673616103522645,0.9539713724389559,0.9818024263431543,0.9676868327402135,276684.3493436528,6955
Naive Bayes,0.9468008626887131,0.9447640966628308,0.9485846331600231,0.9466705102334967,1235813.7818258842,6955
Random Forest,0.9768511861969806,0.9692920102359965,0.9846909300982092,0.9769307923771314,16856.508239188108,6955
