dataset,model,accuracy,precision,recall,f1
enron,Logistic Regression,0.9816651638112414,0.9711958102996799,0.9931567985718536,0.9820535451603413
enron,Naive Bayes,0.974902314397355,0.9713695395513577,0.979172865218685,0.9752555934212476
enron,Random Forest,0.9831680192365494,0.9779346866725508,0.9889913716155906,0.9834319526627219
