dataset,model,accuracy,precision,recall,f1,speed_emails_per_second,num_test_samples,correct_predictions
phishing,Logistic Regression,0.9384920634920635,1.0,0.9384920634920635,0.9682702149437052,87265.90224570673,504,473
phishing,Naive Bayes,0.8432539682539683,1.0,0.8432539682539683,0.9149623250807319,125463.18570835065,504,425
phishing,Random Forest,0.9861111111111112,1.0,0.9861111111111112,0.993006993006993,2371.436377975192,504,497
